bowler,batsman,runs
PP Ojha,BJ Hodge,44
RP Singh,ML Hayden,44
RP Singh,YK Pathan,44
AB Agarkar,DPMD Jayawardene,44
RP Singh,MS Dhoni,44
M Muralitharan,Yuvraj Singh,44
DS Kulkarni,DA Warner,44
DJ Bravo,DA Warner,44
M Kartik,LRPL Taylor,44
M Muralitharan,JP Duminy,44
PP Chawla,AT Rayudu,44
Z Khan,DA Warner,44
JA Morkel,SE Marsh,44
L Balaji,MS Dhoni,44
Z Khan,AT Rayudu,44
A Mishra,MEK Hussey,44
DW Steyn,SE Marsh,44
CH Gayle,MS Dhoni,44
DJ Bravo,AT Rayudu,44
HV Patel,G Gambhir,44
JP Faulkner,KA Pollard,44
I Sharma,DR Smith,44
MM Sharma,DR Smith,44
JP Faulkner,SE Marsh,44
YS Chahal,CA Lynn,44
Sandeep Sharma,G Gambhir,43
M Muralitharan,YK Pathan,43
RR Powar,SK Raina,43
SR Watson,MS Dhoni,43
DL Vettori,KC Sangakkara,43
SK Warne,AB de Villiers,43
A Mishra,DA Miller,43
DS Kulkarni,G Gambhir,43
IK Pathan,AM Rahane,43
PP Chawla,AB de Villiers,43
MM Patel,G Gambhir,43
M Muralitharan,AD Mathews,43
NLTC Perera,SR Tendulkar,43
SK Trivedi,A Symonds,43
Harbhajan Singh,M Vijay,43
R Ashwin,G Gambhir,43
Z Khan,PA Patel,43
R Ashwin,YK Pathan,43
R Sharma,V Sehwag,43
MG Johnson,MS Dhoni,43
JH Kallis,S Dhawan,43
Anureet Singh,DA Warner,43
MM Sharma,Yuvraj Singh,43
B Kumar,DA Miller,43
AG Murtaza,CH Gayle,43
DR Smith,GJ Maxwell,43
TG Southee,G Gambhir,43
Karanveer Singh,MK Pandey,43
M Morkel,M Vohra,43
Anureet Singh,AD Russell,43
KC Cariappa,V Kohli,43
GJ Maxwell,G Gambhir,42
Z Khan,SR Watson,42
A Nehra,S Dhawan,42
Z Khan,AC Gilchrist,42
IK Pathan,SC Ganguly,42
JA Morkel,RV Uthappa,42
Harmeet Singh,R Dravid,42
L Balaji,AB de Villiers,42
MS Gony,V Sehwag,42
Yuvraj Singh,JH Kallis,42
YK Pathan,S Dhawan,42
RJ Harris,M Vijay,42
RP Singh,DA Warner,42
Harbhajan Singh,S Badrinath,42
R Ashwin,Yuvraj Singh,42
R Ashwin,V Sehwag,42
R Ashwin,AB de Villiers,42
Z Khan,RV Uthappa,42
RA Jadeja,CH Gayle,42
IK Pathan,MK Tiwary,42
DW Steyn,DA Warner,42
PP Chawla,KA Pollard,42
RJ Harris,CL White,42
Iqbal Abdulla,M Vijay,42
KA Pollard,RV Uthappa,42
JH Kallis,R Dravid,42
NLTC Perera,SK Raina,42
UT Yadav,AB de Villiers,42
KMDN Kulasekara,JD Ryder,42
SP Narine,AM Rahane,42
KK Cooper,AT Rayudu,42
I Sharma,SR Watson,42
JP Faulkner,DA Miller,42
MM Sharma,GJ Bailey,42
JJ Bumrah,S Dhawan,42
IC Pandey,RV Uthappa,42
DW Steyn,LMP Simmons,42
MJ McClenaghan,KL Rahul,42
PP Chawla,RV Uthappa,41
Yuvraj Singh,RG Sharma,41
P Negi,KA Pollard,41
JA Morkel,SR Watson,41
Ankit Sharma,DR Smith,41
Imran Tahir,BB McCullum,41
L Balaji,AC Gilchrist,41
SK Raina,RG Sharma,41
SL Malinga,BJ Hodge,41
P Kumar,SC Ganguly,41
Harbhajan Singh,TM Dilshan,41
R Bhatia,Yuvraj Singh,41
PP Ojha,DJ Hussey,41
AB Dinda,MS Dhoni,41
SL Malinga,V Sehwag,41
MM Patel,MK Pandey,41
R Vinay Kumar,KA Pollard,41
MC Henriques,RG Sharma,41
R Bhatia,DJ Hussey,41
CR Woakes,SK Raina,41
Z Khan,SE Marsh,41
SL Malinga,MEK Hussey,41
Yuvraj Singh,JP Duminy,41
P Kumar,DR Smith,41
Basil Thampi,HM Amla,41
Harbhajan Singh,SR Watson,41
R Sharma,CH Gayle,41
DS Kulkarni,SR Watson,41
Imran Tahir,GJ Maxwell,41
P Kumar,BB McCullum,41
BW Hilfenhaus,DR Smith,41
M Kartik,SV Samson,41
UT Yadav,SR Watson,41
PV Tambe,F du Plessis,41
JD Unadkat,KK Nair,41
TA Boult,BB McCullum,41
Imran Tahir,KH Pandya,41
SK Trivedi,SC Ganguly,40
SK Warne,SC Ganguly,40
RP Singh,R Dravid,40
MM Patel,S Dhawan,40
Harbhajan Singh,ML Hayden,40
R Vinay Kumar,ML Hayden,40
MS Gony,RV Uthappa,40
MS Gony,AB de Villiers,40
MM Patel,AC Gilchrist,40
PJ Sangwan,M Vijay,40
A Kumble,ST Jayasuriya,40
M Morkel,JH Kallis,40
CK Langeveldt,AC Gilchrist,40
R Sharma,SS Tiwary,40
R Bhatia,V Kohli,40
SL Malinga,Yuvraj Singh,40
SR Watson,AT Rayudu,40
A Mishra,KH Pandya,40
P Kumar,AT Rayudu,40
UT Yadav,JD Ryder,40
M Morkel,SE Marsh,40
WD Parnell,S Dhawan,40
JP Duminy,MK Pandey,40
PP Chawla,DPMD Jayawardene,40
S Aravind,M Vijay,40
KA Pollard,OA Shah,40
SP Narine,CH Gayle,40
R Ashwin,DR Smith,40
Mohammed Shami,Yuvraj Singh,40
CH Morris,CH Gayle,40
NLTC Perera,RG Sharma,40
Yuvraj Singh,YK Pathan,40
MM Sharma,AB de Villiers,40
MG Johnson,BB McCullum,40
Mohammed Shami,DR Smith,40
M Morkel,YV Takawale,40
AR Patel,AB de Villiers,40
SL Malinga,WP Saha,40
M Morkel,DA Warner,40
DJ Bravo,CH Morris,40
S Aravind,Q de Kock,40
MM Sharma,G Gambhir,39
PP Ojha,DJ Bravo,39
A Kumble,AB de Villiers,39
AB Dinda,Yuvraj Singh,39
L Balaji,V Sehwag,39
JH Kallis,DPMD Jayawardene,39
YK Pathan,Yuvraj Singh,39
SK Warne,IK Pathan,39
Rashid Khan,RV Uthappa,39
Kuldeep Yadav,DA Warner,39
Kuldeep Yadav,Yuvraj Singh,39
I Sharma,ST Jayasuriya,39
Z Khan,WP Saha,39
IK Pathan,BJ Hodge,39
JH Kallis,SR Tendulkar,39
SL Malinga,G Gambhir,39
B Lee,RG Sharma,39
YK Pathan,M Vijay,39
AD Mathews,R Dravid,39
PP Ojha,AB de Villiers,39
Yuvraj Singh,KD Karthik,39
A Nehra,KC Sangakkara,39
DL Vettori,R Dravid,39
A Symonds,V Sehwag,39
R Ashwin,KD Karthik,39
RA Jadeja,KM Jadhav,39
SP Narine,KD Karthik,39
Sandeep Sharma,JC Buttler,39
Harbhajan Singh,MEK Hussey,39
R Ashwin,SR Tendulkar,39
AD Mathews,V Sehwag,39
R Ashwin,MA Agarwal,39
S Nadeem,RV Uthappa,39
R Vinay Kumar,CL White,39
STR Binny,MEK Hussey,39
B Lee,MEK Hussey,39
WD Parnell,G Gambhir,39
KA Pollard,MK Tiwary,39
