bowler,batsman,runs
JJ Bumrah,DA Warner,37
PP Chawla,Yuvraj Singh,37
MR Marsh,CH Gayle,37
KV Sharma,MS Dhoni,37
JD Unadkat,DR Smith,37
B Kumar,KM Jadhav,37
MC Henriques,AJ Finch,37
MG Johnson,JP Faulkner,37
MM Sharma,KA Pollard,37
VR Aaron,DA Warner,37
CJ Anderson,F du Plessis,37
J Suchith,DR Smith,37
MC Henriques,V Kohli,37
BB Sran,KK Nair,37
A Kumble,SE Marsh,37
YS Chahal,MC Henriques,36
YS Chahal,S Dhawan,36
MJ McClenaghan,SPD Smith,36
AR Patel,G Gambhir,36
JH Kallis,AB de Villiers,36
I Sharma,YK Pathan,36
M Muralitharan,GC Smith,36
SK Warne,KD Karthik,36
Z Khan,ML Hayden,36
M Kartik,RG Sharma,36
P Kumar,ML Hayden,36
JA Morkel,AB de Villiers,36
DP Nannes,ML Hayden,36
P Kumar,DPMD Jayawardene,36
R Vinay Kumar,DJ Bravo,36
DP Nannes,BB McCullum,36
MJ McClenaghan,SK Raina,36
M Muralitharan,SR Tendulkar,36
UT Yadav,KK Nair,36
RJ Harris,JH Kallis,36
AG Murtaza,YK Pathan,36
DW Steyn,MK Tiwary,36
DW Steyn,SC Ganguly,36
AR Patel,NV Ojha,36
BB Sran,M Vohra,36
DW Steyn,MS Bisla,36
Joginder Sharma,V Sehwag,36
SL Malinga,MK Pandey,36
M Muralitharan,S Dhawan,36
Iqbal Abdulla,DPMD Jayawardene,36
AD Mathews,KC Sangakkara,36
JA Morkel,MJ Lumb,36
B Lee,S Dhawan,36
DW Steyn,A Symonds,36
KA Pollard,V Kohli,36
JA Morkel,AT Rayudu,36
R Ashwin,JH Kallis,36
Z Khan,RA Jadeja,36
SK Trivedi,DA Warner,36
AB Dinda,V Kohli,36
TG Southee,Yuvraj Singh,36
P Parameswaran,CH Gayle,36
Harbhajan Singh,MK Tiwary,36
R Bhatia,AB de Villiers,36
P Awana,AM Rahane,36
P Negi,GJ Maxwell,36
DS Kulkarni,DA Miller,36
MA Starc,JP Duminy,36
AR Patel,F du Plessis,36
YS Chahal,AD Russell,36
MJ McClenaghan,MK Pandey,36
DJ Bravo,AC Gilchrist,35
I Sharma,PA Patel,35
AB Agarkar,PA Patel,35
R Bhatia,SP Goswami,35
SK Trivedi,DJ Hussey,35
M Muralitharan,R Dravid,35
SK Warne,RV Uthappa,35
SK Trivedi,KD Karthik,35
DJ Bravo,ML Hayden,35
R Vinay Kumar,RA Jadeja,35
JA Morkel,LRPL Taylor,35
I Sharma,IK Pathan,35
RP Singh,Harbhajan Singh,35
SP Narine,S Dhawan,35
SP Narine,Yuvraj Singh,35
Harbhajan Singh,BJ Hodge,35
M Kartik,SR Tendulkar,35
S Sreesanth,SK Raina,35
HH Pandya,KD Karthik,35
PP Chawla,A Symonds,35
S Sreesanth,A Symonds,35
A Mishra,SC Ganguly,35
M Kartik,R Dravid,35
M Muralitharan,LRPL Taylor,35
YS Chahal,MS Dhoni,35
A Singh,G Gambhir,35
DS Kulkarni,CH Gayle,35
WPUJC Vaas,YK Pathan,35
P Kumar,KM Jadhav,35
S Aravind,SP Narine,35
UT Yadav,SS Tiwary,35
BA Bhatt,G Gambhir,35
Washington Sundar,PA Patel,35
SP Narine,SPD Smith,35
Harbhajan Singh,JP Duminy,35
JJ van der Wath,SE Marsh,35
Sandeep Sharma,AM Rahane,35
RP Singh,DA Miller,35
VR Aaron,YK Pathan,35
V Pratap Singh,Mandeep Singh,35
HV Patel,AT Rayudu,35
Azhar Mahmood,DPMD Jayawardene,35
A Mishra,KM Jadhav,35
B Kumar,M Vijay,35
RA Jadeja,SV Samson,35
P Kumar,WP Saha,35
STR Binny,M Vijay,35
AR Patel,BB McCullum,35
GJ Maxwell,CH Gayle,35
YS Chahal,DA Miller,35
JP Faulkner,JP Duminy,35
P Awana,MK Pandey,35
PP Ojha,KK Nair,35
AR Patel,AT Rayudu,35
AR Patel,Q de Kock,35
JJ Bumrah,MS Dhoni,34
JH Kallis,PA Patel,34
MS Gony,ST Jayasuriya,34
A Kumble,AC Gilchrist,34
A Flintoff,AB de Villiers,34
PP Chawla,JH Kallis,34
JH Kallis,RS Bopara,34
SL Malinga,AC Gilchrist,34
MC Henriques,MK Pandey,34
M Muralitharan,AC Gilchrist,34
Z Khan,CH Gayle,34
AB Agarkar,SR Tendulkar,34
I Sharma,AM Rahane,34
P Kumar,NV Ojha,34
L Balaji,Yuvraj Singh,34
B Lee,HH Gibbs,34
Z Khan,YK Pathan,34
S Aravind,SK Raina,34
A Mishra,JH Kallis,34
SL Malinga,SE Marsh,34
R Vinay Kumar,KC Sangakkara,34
IK Pathan,M Vijay,34
Z Khan,M Vijay,34
Iqbal Abdulla,MS Dhoni,34
JD Unadkat,S Dhawan,34
AM Nayar,S Badrinath,34
JA Morkel,PC Valthaty,34
M Kartik,BJ Hodge,34
AR Patel,KD Karthik,34
AN Ahmed,RV Uthappa,34
SK Trivedi,SE Marsh,34
JD Unadkat,CH Gayle,34
JR Hopes,DJ Hussey,34
UT Yadav,CH Gayle,34
B Lee,DA Warner,34
BA Bhatt,JH Kallis,34
R Bhatia,CL White,34
B Lee,BJ Hodge,34
VR Aaron,SK Raina,34
A Mithun,MS Dhoni,34
M Morkel,MS Dhoni,34
Z Khan,AM Rahane,34
VR Aaron,S Dhawan,34
JP Duminy,RV Uthappa,34
AA Chavan,V Sehwag,34
R Bhatia,NV Ojha,34
RA Jadeja,AJ Finch,34
Mohammed Shami,KD Karthik,34
JP Faulkner,CJ Anderson,34
SR Watson,M Vohra,34
UT Yadav,AJ Finch,34
IK Pathan,AJ Finch,34
KV Sharma,RG Sharma,34
CH Morris,DR Smith,34
SR Watson,DA Warner,34
DS Kulkarni,CL White,34
DJG Sammy,AB de Villiers,34
SB Jakati,F du Plessis,34
TG Southee,DA Warner,34
AR Patel,AD Russell,34
L Balaji,WP Saha,33
DW Steyn,V Sehwag,33
Umar Gul,YK Pathan,33
A Nehra,SE Marsh,33
R Vinay Kumar,MS Dhoni,33
VY Mahesh,ST Jayasuriya,33
JA Morkel,YK Pathan,33
KH Pandya,AB de Villiers,33
RR Powar,PA Patel,33
PP Chawla,PA Patel,33
PJ Sangwan,RS Bopara,33
JH Kallis,HH Gibbs,33
M Muralitharan,AB de Villiers,33
Yuvraj Singh,R Dravid,33
PJ Sangwan,V Kohli,33
Pankaj Singh,V Sehwag,33
PP Chawla,JP Duminy,33
P Kumar,KC Sangakkara,33
RP Singh,RA Jadeja,33
S Sreesanth,ML Hayden,33
JA Morkel,Yuvraj Singh,33
B Lee,AC Gilchrist,33
DS Kulkarni,MS Dhoni,33
A Nehra,R Dravid,33
S Aravind,Ishan Kishan,33
M Muralitharan,NV Ojha,33
SK Trivedi,G Gambhir,33
SK Raina,SS Tiwary,33
Shakib Al Hasan,BB McCullum,33
SP Narine,RA Jadeja,33
SK Trivedi,V Kohli,33
JD Unadkat,AJ Finch,33
AB Dinda,S Dhawan,33
UT Yadav,AT Rayudu,33
PP Chawla,M Vijay,33
AC Thomas,DA Warner,33
AB Dinda,CH Gayle,33
M Morkel,JP Duminy,33
WD Parnell,YK Pathan,33
S Aravind,WP Saha,33
L Balaji,JEC Franklin,33
L Balaji,AT Rayudu,33
JP Faulkner,RG Sharma,33
P Kumar,JEC Franklin,33
LJ Wright,V Sehwag,33
JA Morkel,Mandeep Singh,33
DJ Bravo,Shakib Al Hasan,33
UT Yadav,MS Dhoni,33
MM Sharma,V Sehwag,33
SR Watson,DJG Sammy,33
R Vinay Kumar,DR Smith,33
S Kaul,AB de Villiers,33
AB Dinda,KK Nair,33
YS Chahal,Shakib Al Hasan,33
RA Jadeja,S Dhawan,33
Mustafizur Rahman,RR Pant,33
Gagandeep Singh,DJ Hussey,33
KH Pandya,SPD Smith,32
SR Watson,JH Kallis,32
RG Sharma,KC Sangakkara,32
SR Watson,V Sehwag,32
MM Patel,A Mishra,32
MM Patel,RV Uthappa,32
RA Jadeja,MK Tiwary,32
RP Singh,BB McCullum,32
AB Dinda,AC Gilchrist,32
PJ Sangwan,ML Hayden,32
Z Khan,HH Gibbs,32
SP Narine,NV Ojha,32
YK Pathan,AC Gilchrist,32
MM Patel,RG Sharma,32
PP Chawla,BB McCullum,32
DJ Bravo,RV Uthappa,32
YK Pathan,DPMD Jayawardene,32
P Kumar,YK Pathan,32
DJ Bravo,G Gambhir,32
DS Kulkarni,KC Sangakkara,32
RE van der Merwe,MS Dhoni,32
L Balaji,LRPL Taylor,32
DS Kulkarni,S Badrinath,32
SB Jakati,BB McCullum,32
L Balaji,BJ Hodge,32
RJ Harris,MK Pandey,32
Z Khan,NV Ojha,32
SW Tait,KD Karthik,32
Bipul Sharma,JH Kallis,32
AD Mathews,SK Raina,32
KA Pollard,MK Pandey,32
R Sharma,KD Karthik,32
SJ Srivastava,SC Ganguly,32
R Bhatia,AD Mathews,32
JD Unadkat,DPMD Jayawardene,32
JH Kallis,DA Warner,32
RP Singh,SR Watson,32
PP Ojha,SR Watson,32
Sandeep Sharma,PA Patel,32
KA Pollard,MEK Hussey,32
KA Pollard,Yuvraj Singh,32
SB Jakati,A Symonds,32
AB Dinda,LRPL Taylor,32
SP Narine,AJ Finch,32
JD Unadkat,AT Rayudu,32
R Sharma,R Dravid,32
DW Steyn,R Dravid,32
KA Pollard,BB McCullum,32
M Morkel,PA Patel,32
MC Henriques,SE Marsh,32
L Balaji,Mandeep Singh,32
S Nadeem,MK Pandey,32
B Kumar,CL White,32
UT Yadav,R Dravid,32
SC Ganguly,CL White,32
A Ashish Reddy,V Kohli,32
M Morkel,SK Raina,32
AD Russell,V Kohli,32
NM Coulter-Nile,RA Tripathi,32
MG Johnson,AJ Finch,32
SP Narine,NLTC Perera,32
Mohammed Shami,SK Raina,32
SP Narine,KA Pollard,32
JD Unadkat,MS Dhoni,32
MM Sharma,Harbhajan Singh,32
KV Sharma,WP Saha,32
MC Henriques,WP Saha,32
KV Sharma,RV Uthappa,32
S Kaushik,MC Henriques,32
M Ashwin,YK Pathan,32
AB Dinda,SV Samson,32
MF Maharoof,RG Sharma,32
B Kumar,Mandeep Singh,31
MJ McClenaghan,MS Dhoni,31
PJ Sangwan,JH Kallis,31
A Kumble,KD Karthik,31
YK Pathan,PA Patel,31
PP Ojha,V Kohli,31
AB Dinda,SE Marsh,31
DJ Hussey,KC Sangakkara,31
M Kartik,DPMD Jayawardene,31
A Nehra,ML Hayden,31
A Kumble,Yuvraj Singh,31
YK Pathan,IK Pathan,31
AD Mascarenhas,G Gambhir,31
YK Pathan,S Badrinath,31
SK Raina,KD Karthik,31
R Vinay Kumar,ST Jayasuriya,31
PP Ojha,M Vijay,31
SB Jakati,DR Smith,31
SB Jakati,Y Venugopal Rao,31
SK Raina,TL Suman,31
SK Trivedi,DPMD Jayawardene,31
VRV Singh,MS Dhoni,31
M Muralitharan,DPMD Jayawardene,31
R Bhatia,DJ Bravo,31
DJ Hussey,SK Raina,31
A Nehra,JH Kallis,31
Z Khan,MK Pandey,31
Jaskaran Singh,MK Pandey,31
KC Cariappa,DA Warner,31
AR Patel,Yuvraj Singh,31
JH Kallis,SS Tiwary,31
P Kumar,KA Pollard,31
JA Morkel,MS Bisla,31
P Negi,BB McCullum,31
SP Narine,BB McCullum,31
Kuldeep Yadav,SK Raina,31
SR Watson,AC Gilchrist,31
KA Pollard,YK Pathan,31
RA Jadeja,G Gambhir,31
Shakib Al Hasan,SK Raina,31
DW Steyn,AT Rayudu,31
PP Chawla,S Badrinath,31
R Ashwin,JP Duminy,31
R Bhatia,JP Duminy,31
Z Khan,MEK Hussey,31
DL Vettori,M Vijay,31
S Nadeem,Yuvraj Singh,31
WD Parnell,DA Warner,31
AR Patel,DR Smith,31
JR Hopes,SE Marsh,31
RA Jadeja,CL White,31
UT Yadav,G Gambhir,31
BA Bhatt,SR Tendulkar,31
Imran Tahir,RV Uthappa,31
JP Faulkner,Mandeep Singh,31
WD Parnell,MK Tiwary,31
AR Patel,AM Rahane,31
AB Dinda,M Vohra,31
CJ Anderson,MK Pandey,31
JP Faulkner,DA Warner,31
Z Khan,AJ Finch,31
J Botha,MK Tiwary,31
B Kumar,F du Plessis,31
P Awana,RG Sharma,31
P Kumar,F du Plessis,31
B Kumar,RG Sharma,31
P Awana,PA Patel,31
P Negi,CH Gayle,31
Mohammed Shami,S Dhawan,31
B Kumar,WP Saha,31
YS Chahal,AT Rayudu,31
YS Chahal,RV Uthappa,31
PP Chawla,GJ Bailey,31
Shakib Al Hasan,DR Smith,31
SR Watson,AD Russell,31
I Sharma,BB McCullum,31
HV Patel,KK Nair,31
DT Christian,KH Pandya,31
YS Chahal,HM Amla,31
R Bhatia,KA Pollard,30
Imran Tahir,KA Pollard,30
AB Dinda,HH Pandya,30
KH Pandya,AM Rahane,30
UT Yadav,M Vohra,30
SP Narine,GJ Maxwell,30
IK Pathan,RV Uthappa,30
MS Gony,JH Kallis,30
PP Chawla,HH Gibbs,30
MM Patel,JA Morkel,30
HH Pandya,V Kohli,30
L Balaji,DB Ravi Teja,30
MS Gony,IK Pathan,30
Kamran Khan,KP Pietersen,30
Basil Thampi,BA Stokes,30
SB Jakati,MK Tiwary,30
RA Jadeja,MS Dhoni,30
RS Bopara,CH Gayle,30
YA Abdulla,JH Kallis,30
IK Pathan,JD Ryder,30
A Kumble,RS Bopara,30
A Mishra,KP Pietersen,30
IK Pathan,RA Jadeja,30
L Balaji,RG Sharma,30
I Sharma,S Dhawan,30
A Mishra,RA Jadeja,30
VS Malik,S Dhawan,30
Yuvraj Singh,V Kohli,30
JH Kallis,JP Duminy,30
RE van der Merwe,DJ Bravo,30
RR Powar,NV Ojha,30
S Sreesanth,RA Jadeja,30
M Morkel,AC Gilchrist,30
DR Smith,AB de Villiers,30
R Bhatia,DR Smith,30
SB Jakati,LRPL Taylor,30
B Lee,V Sehwag,30
DJ Bravo,S Badrinath,30
PP Chawla,DB Ravi Teja,30
SB Jakati,BJ Hodge,30
A Symonds,R Dravid,30
SB Jakati,R Dravid,30
R Vinay Kumar,HH Gibbs,30
JH Kallis,MS Bisla,30
SL Malinga,M Vijay,30
R Bhatia,BB McCullum,30
JP Faulkner,RV Uthappa,30
KA Pollard,R Dravid,30
LR Shukla,AJ Finch,30
Harbhajan Singh,AJ Finch,30
S Kaul,MS Dhoni,30
J Botha,DA Warner,30
JD Ryder,V Sehwag,30
MM Sharma,SK Raina,30
P Kumar,R Dravid,30
MM Patel,MEK Hussey,30
JJ Bumrah,MK Tiwary,30
SR Watson,MEK Hussey,30
KA Pollard,JP Duminy,30
Iqbal Abdulla,SR Tendulkar,30
Ankit Sharma,F du Plessis,30
A Singh,JP Duminy,30
Harbhajan Singh,DJ Hussey,30
S Kaul,G Gambhir,30
B Kumar,R Dravid,30
M Morkel,MEK Hussey,30
Shakib Al Hasan,AT Rayudu,30
Mohammed Shami,DA Warner,30
MG Johnson,MEK Hussey,30
AB Dinda,Q de Kock,30
P Kumar,Q de Kock,30
KK Cooper,MEK Hussey,30
DJ Bravo,DA Miller,30
P Kumar,SV Samson,30
JP Faulkner,AP Tare,30
R Vinay Kumar,DA Miller,30
Sandeep Sharma,DR Smith,30
JP Faulkner,WP Saha,30
MM Sharma,JP Duminy,30
B Kumar,RA Jadeja,30
PP Ojha,AJ Finch,30
VR Aaron,AM Rahane,30
JJ Bumrah,MK Pandey,30
AR Patel,KP Pietersen,30
Shakib Al Hasan,AB de Villiers,30
JP Faulkner,GJ Bailey,30
TG Southee,M Vijay,30
VR Aaron,LMP Simmons,30
DJ Bravo,WP Saha,30
MJ McClenaghan,F du Plessis,30
BB Sran,RV Uthappa,30
A Zampa,V Kohli,30
VRV Singh,R Dravid,30
A Nehra,Mandeep Singh,29
JJ Bumrah,AM Rahane,29
JJ Bumrah,SPD Smith,29
SP Narine,M Vohra,29
Y Venugopal Rao,KC Sangakkara,29
L Balaji,GC Smith,29
MM Patel,S Badrinath,29
Z Khan,RG Sharma,29
SR Watson,SR Tendulkar,29
SR Watson,YV Takawale,29
JA Morkel,DPMD Jayawardene,29
DL Vettori,SK Raina,29
Z Khan,BJ Hodge,29
RR Powar,JP Duminy,29
YK Pathan,ML Hayden,29
A Mishra,EJG Morgan,29
A Nehra,M Vijay,29
R Vinay Kumar,AM Nayar,29
IK Pathan,S Badrinath,29
SK Trivedi,M Vijay,29
AB Agarkar,LRPL Taylor,29
S Sreesanth,DJ Bravo,29
RR Powar,TM Dilshan,29
SK Raina,BB McCullum,29
A Nehra,MV Boucher,29
R Ashwin,IK Pathan,29
ST Jayasuriya,V Sehwag,29
NM Coulter-Nile,SV Samson,29
CH Morris,YK Pathan,29
L Balaji,MK Pandey,29
JH Kallis,A Symonds,29
A Mishra,IK Pathan,29
JH Kallis,BJ Hodge,29
MS Gony,WP Saha,29
PJ Sangwan,SS Tiwary,29
A Kumble,AT Rayudu,29
R Vinay Kumar,AT Rayudu,29
SJ Srivastava,NV Ojha,29
SW Tait,M Vijay,29
CK Langeveldt,DA Warner,29
S Kaul,KK Nair,29
DJ Bravo,SE Marsh,29
SR Watson,DR Smith,29
R Ashwin,KA Pollard,29
KA Pollard,KC Sangakkara,29
Shakib Al Hasan,AJ Finch,29
A Nehra,AT Rayudu,29
R Ashwin,BB McCullum,29
JP Duminy,SC Ganguly,29
CH Morris,RG Sharma,29
R Sharma,KP Pietersen,29
PP Ojha,J Botha,29
M Morkel,AT Rayudu,29
JA Morkel,MA Agarwal,29
Sandeep Sharma,KD Karthik,29
DT Christian,V Sehwag,29
A Singh,RG Sharma,29
J Botha,MEK Hussey,29
M Morkel,AC Blizzard,29
R Sharma,Mandeep Singh,29
DS Kulkarni,SE Marsh,29
R Vinay Kumar,Mandeep Singh,29
JH Kallis,V Kohli,29
DS Kulkarni,Shakib Al Hasan,29
SK Raina,S Dhawan,29
KK Cooper,MK Tiwary,29
PP Ojha,AM Rahane,29
M Kartik,F du Plessis,29
NM Coulter-Nile,KS Williamson,29
B Kumar,AT Rayudu,29
B Kumar,BB McCullum,29
SL Malinga,DJ Bravo,29
KV Sharma,AB de Villiers,29
R Sharma,AM Rahane,29
JD Unadkat,KD Karthik,29
Kuldeep Yadav,RA Tripathi,29
R Rampaul,IK Pathan,29
MM Sharma,YK Pathan,29
JO Holder,S Dhawan,29
S Nadeem,AJ Finch,29
MC Henriques,SPD Smith,29
JP Faulkner,AD Mathews,29
R Bhatia,AJ Finch,29
SK Raina,CJ Anderson,29
AD Russell,SR Watson,29
IC Pandey,V Sehwag,29
Harbhajan Singh,SA Yadav,29
DJ Bravo,JA Morkel,29
Anureet Singh,Harbhajan Singh,29
RS Bopara,JP Duminy,29
SR Watson,EJG Morgan,29
BB Sran,G Gambhir,29
JH Kallis,G Gambhir,28
S Sreesanth,HH Gibbs,28
PP Ojha,Yuvraj Singh,28
S Aravind,KA Pollard,28
Umar Gul,KC Sangakkara,28
RP Singh,JA Morkel,28
VRV Singh,SK Raina,28
DL Vettori,Yuvraj Singh,28
DR Smith,BA Stokes,28
I Sharma,RG Sharma,28
M Kartik,HH Gibbs,28
AM Salvi,ML Hayden,28
Harbhajan Singh,HH Gibbs,28
MM Patel,DPMD Jayawardene,28
Shoaib Ahmed,TM Dilshan,28
SB Jakati,RG Sharma,28
A Nehra,BB McCullum,28
MC Henriques,DA Warner,28
R Vinay Kumar,NV Ojha,28
SB Jakati,YK Pathan,28
M Kartik,RV Uthappa,28
WPUJC Vaas,V Sehwag,28
S Badree,SPD Smith,28
A Mishra,J Botha,28
RE van der Merwe,RG Sharma,28
JH Kallis,SC Ganguly,28
PP Ojha,S Badrinath,28
Sandeep Sharma,NV Ojha,28
AD Mathews,NV Ojha,28
YS Chahal,AJ Finch,28
R McLaren,S Badrinath,28
DS Kulkarni,CA Lynn,28
MF Maharoof,DPMD Jayawardene,28
CH Gayle,SK Raina,28
SB Jakati,SE Marsh,28
VRV Singh,S Badrinath,28
AB Dinda,AT Rayudu,28
SW Tait,DA Warner,28
BA Bhatt,S Badrinath,28
S Nadeem,JD Ryder,28
RA Jadeja,GJ Maxwell,28
RP Singh,MEK Hussey,28
R Ashwin,DPMD Jayawardene,28
SK Trivedi,AC Gilchrist,28
STR Binny,KD Karthik,28
S Aravind,YK Pathan,28
Z Khan,JD Ryder,28
SN Thakur,PA Patel,28
JD Unadkat,PA Patel,28
RP Singh,EJG Morgan,28
Imran Tahir,G Gambhir,28
AB Dinda,DA Miller,28
AN Ahmed,CH Gayle,28
M Morkel,G Gambhir,28
S Kaul,SE Marsh,28
JP Faulkner,SPD Smith,28
V Kohli,JA Morkel,28
YS Chahal,MK Tiwary,28
JP Duminy,KP Pietersen,28
TP Sudhindra,DA Warner,28
R Vinay Kumar,Azhar Mahmood,28
P Parameswaran,S Dhawan,28
P Awana,DA Warner,28
DW Steyn,V Kohli,28
K Rabada,Yuvraj Singh,28
Imran Tahir,YK Pathan,28
Z Khan,KM Jadhav,28
LJ Wright,DA Miller,28
SR Watson,DJ Bravo,28
AJ Finch,CH Gayle,28
KK Cooper,DJG Sammy,28
DJ Hussey,RG Sharma,28
PP Ojha,STR Binny,28
MG Neser,AB de Villiers,28
P Kumar,MC Henriques,28
KK Cooper,BB Samantray,28
Sandeep Sharma,KA Pollard,28
DS Kulkarni,KL Rahul,28
Z Khan,AB de Villiers,28
PV Tambe,DA Miller,28
MA Starc,RV Uthappa,28
DS Kulkarni,SS Iyer,28
R Ashwin,M Vijay,28
JJ Bumrah,DR Smith,28
MC Henriques,AT Rayudu,28
Mohammed Shami,CH Gayle,28
PV Tambe,CJ Anderson,28
Shakib Al Hasan,M Vohra,28
AD Russell,SS Iyer,28
D Wiese,KK Nair,28
Parvez Rasool,Q de Kock,28
Imran Tahir,AT Rayudu,27
PP Chawla,DA Miller,27
SK Warne,P Kumar,27
RA Jadeja,R Dravid,27
PP Ojha,SR Tendulkar,27
R Bhatia,R Dravid,27
R Bhatia,Misbah-ul-Haq,27
PP Ojha,SE Marsh,27
A Nehra,G Gambhir,27
DR Smith,KD Karthik,27
M Ntini,Kamran Akmal,27
JJ Bumrah,P Negi,27
I Sharma,DPMD Jayawardene,27
MS Gony,AC Gilchrist,27
SK Warne,MF Maharoof,27
L Balaji,SR Watson,27
MS Gony,DJ Bravo,27
Ankit Sharma,BB McCullum,27
PJ Sangwan,SK Raina,27
Harbhajan Singh,AC Gilchrist,27
YK Pathan,MC Henriques,27
RG Sharma,ML Hayden,27
M Muralitharan,HH Gibbs,27
L Balaji,DR Smith,27
JP Duminy,KC Sangakkara,27
Harbhajan Singh,IK Pathan,27
DJ Bravo,KC Sangakkara,27
M Muralitharan,RA Jadeja,27
L Balaji,DA Warner,27
P Kumar,DJ Bravo,27
MS Gony,SM Katich,27
JJ Bumrah,SK Raina,27
KH Pandya,BB McCullum,27
Yuvraj Singh,Y Venugopal Rao,27
A Singh,SK Raina,27
AB Agarkar,A Symonds,27
S Tyagi,BB McCullum,27
SK Raina,BJ Hodge,27
R Bhatia,SR Tendulkar,27
UT Yadav,RR Pant,27
P Kumar,TL Suman,27
I Sharma,MS Dhoni,27
DW Steyn,GJ Bailey,27
SB Jakati,S Dhawan,27
UT Yadav,AD Mathews,27
AB Dinda,RV Uthappa,27
RJ Harris,DPMD Jayawardene,27
CH Morris,JC Buttler,27
Z Khan,KH Pandya,27
DW Steyn,DR Smith,27
DT Christian,DA Warner,27
Imran Tahir,DA Warner,27
SN Thakur,MC Henriques,27
SK Trivedi,AJ Finch,27
M Morkel,R Dravid,27
SL Malinga,SS Tiwary,27
NLTC Perera,AT Rayudu,27
DT Christian,AC Gilchrist,27
S Nadeem,CL White,27
SK Warne,SE Marsh,27
PP Chawla,AL Menaria,27
S Aravind,G Gambhir,27
PP Chawla,AJ Finch,27
AB Agarkar,SE Marsh,27
Harbhajan Singh,AM Rahane,27
JP Duminy,SK Raina,27
SP Narine,RA Tripathi,27
JR Hopes,AT Rayudu,27
AB Agarkar,AT Rayudu,27
B Kumar,KD Karthik,27
SB Jakati,AM Rahane,27
JDP Oram,BB McCullum,27
MM Sharma,SPD Smith,27
Harbhajan Singh,MA Agarwal,27
MM Patel,MA Agarwal,27
JJ Bumrah,JP Faulkner,27
AD Russell,S Dhawan,27
M Kartik,V Sehwag,27
BA Bhatt,JEC Franklin,27
A Ashish Reddy,MS Dhoni,27
IK Pathan,Gurkeerat Singh,27
DS Kulkarni,MEK Hussey,27
SP Narine,MK Tiwary,27
RA Jadeja,STR Binny,27
JP Faulkner,DJ Bravo,27
B Kumar,V Sehwag,27
UT Yadav,LJ Wright,27
Bipul Sharma,BA Stokes,27
SP Narine,SR Watson,27
AG Murtaza,RN ten Doeschate,27
JP Faulkner,GJ Maxwell,27
MC Henriques,DA Miller,27
GJ Maxwell,DR Smith,27
PJ Sangwan,S Dhawan,27
PV Tambe,S Dhawan,27
IC Pandey,M Vijay,27
AD Russell,KK Nair,27
Sandeep Sharma,F du Plessis,27
JJ Bumrah,G Gambhir,27
MA Starc,F du Plessis,27
JJ Bumrah,SA Yadav,27
SL Malinga,GJ Bailey,27
DJ Hooda,DA Miller,27
DJ Bravo,D Wiese,27
HV Patel,MC Henriques,27
HV Patel,Q de Kock,27
Mustafizur Rahman,MK Pandey,27
BB Sran,CH Gayle,27
S Sreesanth,Kamran Akmal,27
SM Pollock,AC Gilchrist,27
AB Agarkar,SA Asnodkar,27
M Kartik,Y Venugopal Rao,27
Shoaib Akhtar,ST Jayasuriya,27
TG Southee,MA Agarwal,26
DJ Bravo,Y Venugopal Rao,26
M Muralitharan,Salman Butt,26
A Nehra,LA Pomersbach,26
DW Steyn,SK Raina,26
RP Singh,KC Sangakkara,26
MF Maharoof,SR Tendulkar,26
MM Patel,PA Patel,26
RP Singh,SK Raina,26
MM Patel,TM Dilshan,26
A Nehra,KP Pietersen,26
Bipul Sharma,RV Uthappa,26
CH Gayle,JP Duminy,26
Z Khan,IK Pathan,26
SB Jakati,KD Karthik,26
AB Dinda,S Sohal,26
RJ Harris,MS Dhoni,26
A Mishra,BB McCullum,26
R Bhatia,MN van Wyk,26
AB Agarkar,DA Warner,26
RJ Harris,SR Tendulkar,26
IK Pathan,ML Hayden,26
JP Duminy,G Gambhir,26
A Mishra,WP Saha,26
I Sharma,AB de Villiers,26
SK Trivedi,Y Venugopal Rao,26
DP Nannes,A Symonds,26
SL Malinga,RA Jadeja,26
JD Unadkat,V Kohli,26
TM Dilshan,KC Sangakkara,26
M Muralitharan,KC Sangakkara,26
RE van der Merwe,HH Gibbs,26
B Akhil,AC Gilchrist,26
Harmeet Singh,AB de Villiers,26
R Vinay Kumar,S Badrinath,26
A Kumble,Y Venugopal Rao,26
R Sathish,YK Pathan,26
AR Patel,DJ Hooda,26
Yuvraj Singh,TL Suman,26
J Theron,MJ Lumb,26
SK Warne,M Vijay,26
B Kumar,KK Nair,26
B Lee,MK Pandey,26
A Mishra,R Dravid,26
AN Ahmed,SK Raina,26
R Bhatia,SC Ganguly,26
Iqbal Abdulla,G Gambhir,26
AB Dinda,KD Karthik,26
RJ Harris,R Dravid,26
SK Raina,G Gambhir,26
SR Watson,MK Pandey,26
MR Marsh,KC Sangakkara,26
R Vinay Kumar,V Kohli,26
DW Steyn,JH Kallis,26
DT Christian,G Gambhir,26
B Kumar,MK Tiwary,26
KA Pollard,TM Dilshan,26
Shakib Al Hasan,AM Rahane,26
R Vinay Kumar,TR Birt,26
KA Pollard,DJ Hussey,26
J Botha,M Vijay,26
RJ Harris,CH Gayle,26
UT Yadav,RA Tripathi,26
Washington Sundar,G Gambhir,26
I Sharma,Harbhajan Singh,26
AR Patel,SPD Smith,26
DE Bollinger,V Kohli,26
Anureet Singh,S Dhawan,26
MM Sharma,KS Williamson,26
